drug,protein,,,,
DB04843,1131,,,,80122
DB06702,1131,,,,80150
DB00408,1131,,,,80351
DB00472,1131,,,,81027
DB00477,1131,,,,81551
DB00679,1131,,,,81693
DB00810,1131,,,,81788
DB00831,1131,,,,83732
DB01173,1131,,,,83903
DB04365,1131,,,,83933
DB08897,1131,,,,83942
DB01075,1131,,,,84254
DB00246,1132,,,,84446
DB00321,1132,,,,84650
DB00334,1132,,,,84706
DB00363,1132,,,,84790
DB00387,1132,,,,85366
DB00424,1132,,,,85443
DB00458,1132,,,,90134
DB00496,1132,,,,91039
DB00572,1132,,,,91703
DB00622,1132,,,,91754
DB00715,1132,,,,91807
DB00747,1132,,,,112398
DB00809,1132,,,,112399
DB00934,1132,,,,115584
DB01036,1132,,,,116443
DB01224,1132,,,,116444
DB01238,1132,,,,116447
DB01239,1132,,,,117144
DB01591,1132,,,,117155
DB06702,1132,,,,120892
DB00408,1132,,,,121642
DB00434,1132,,,,122011
DB00472,1132,,,,122622
DB00734,1132,,,,124583
DB00810,1132,,,,131890
DB01062,1132,,,,140469
DB01173,1132,,,,140609
DB04365,1132,,,,140901
DB04946,1132,,,,145482
DB08897,1132,,,,147746
DB01075,1132,,,,150094
DB00246,1133,,,,154807
DB00321,1133,,,,166614
DB00334,1133,,,,166785
DB00363,1133,,,,167359
DB00458,1133,,,,203068
DB00496,1133,,,,204851
DB00572,1133,,,,219931
DB00622,1133,,,,221120
DB00715,1133,,,,221955
DB00747,1133,,,,225689
DB00934,1133,,,,285220
DB01036,1133,,,,326625
DB01224,1133,,,,340156
DB01238,1133,,,,388228
DB01239,1133,,,,389840
DB01591,1133,,,,415116
DB06702,1133,,,,440275
DB00387,1133,,,,728642
DB00408,1133,,,,729230
DB00434,1133,,,,
DB00472,1133,,,,
DB00810,1133,,,,
DB01062,1133,,,,
DB01173,1133,,,,
DB04365,1133,,,,
DB08897,1133,,,,
DB01075,1133,,,,
DB00184,1135,,,,
DB00483,1135,,,,
DB00514,1135,,,,
DB00565,1135,,,,
DB00674,1135,,,,
DB00721,1135,,,,
DB00728,1135,,,,
DB00732,1135,,,,
DB00810,1135,,,,
DB01245,1135,,,,
DB01337,1135,,,,
DB01339,1135,,,,
DB00184,1136,,,,
DB00674,1136,,,,
DB00848,1136,,,,
DB01156,1136,,,,
DB01273,1136,,,,
DB00184,1137,,,,
DB00674,1137,,,,
DB00794,1137,,,,
DB01273,1137,,,,
DB00184,1138,,,,
DB00674,1138,,,,
DB00184,1139,,,,
DB00674,1139,,,,
DB00794,1139,,,,
DB01273,1139,,,,
DB09028,1139,,,,
DB00184,1141,,,,
DB00674,1141,,,,
DB00184,1143,,,,
DB00674,1143,,,,
DB00382,1145,,,,
DB00398,1195,,,,
DB00619,1195,,,,
DB01268,1195,,,,
DB03496,1195,,,,
DB04868,1195,,,,
DB05465,1195,,,,
DB06616,1195,,,,
DB06999,1195,,,,
DB08142,1195,,,,
DB08568,1195,,,,
DB01268,1196,,,,
DB03496,1196,,,,
DB05465,1196,,,,
DB06616,1196,,,,
DB06999,1196,,,,
DB08142,1196,,,,
DB08568,1196,,,,
DB08877,1196,,,,
DB03496,1198,,,,
DB05465,1198,,,,
DB06616,1198,,,,
DB08142,1198,,,,
DB08568,1198,,,,
DB06817,1230,,,,
DB00257,1233,,,,
DB04216,1233,,,,
DB06809,1233,,,,
DB04835,1234,,,,
DB00549,1241,,,,
DB00744,1241,,,,
DB00530,1244,,,,
DB02567,1263,,,,
DB02656,1263,,,,
DB08059,1263,,,,
DB08877,1263,,,,
DB06155,1268,,,,
DB00382,1268,,,,
DB01083,1268,,,,
DB00382,1269,,,,
DB06155,1269,,,,
DB01373,1311,,,,
DB00323,1312,,,,
DB00494,1312,,,,
DB04820,1312,,,,
DB08846,1326,,,,
DB03793,1371,,,,
DB00583,1374,,,,
DB01074,1374,,,,
DB00583,1376,,,,
DB01074,1376,,,,
DB00583,1384,,,,
DB01183,1385,,,,
DB03044,1432,,,,
DB07941,1432,,,,
DB00398,1432,,,,
DB00482,1432,,,,
DB01094,1432,,,,
DB01254,1432,,,,
DB01645,1432,,,,
DB02375,1432,,,,
DB02567,1432,,,,
DB04216,1432,,,,
DB04868,1432,,,,
DB07352,1432,,,,
DB07795,1432,,,,
DB08916,1432,,,,
DB00619,1436,,,,
DB01268,1436,,,,
DB00398,1436,,,,
DB01254,1436,,,,
DB02567,1436,,,,
DB04849,1436,,,,
DB04868,1436,,,,
DB04879,1436,,,,
DB05294,1436,,,,
DB05465,1436,,,,
DB06589,1436,,,,
DB06616,1436,,,,
DB06999,1436,,,,
DB08865,1436,,,,
DB00398,1445,,,,
DB00530,1445,,,,
DB02567,1445,,,,
DB04716,1445,,,,
DB04868,1445,,,,
DB05294,1445,,,,
DB05424,1445,,,,
DB06616,1445,,,,
DB06999,1445,,,,
DB00398,1452,,,,
DB01254,1452,,,,
DB01268,1452,,,,
DB03496,1452,,,,
DB06616,1452,,,,
DB07995,1452,,,,
DB08568,1452,,,,
DB08877,1452,,,,
DB00317,1453,,,,
DB05424,1453,,,,
DB06616,1453,,,,
DB08568,1453,,,,
DB00317,1454,,,,
DB00530,1454,,,,
DB04849,1454,,,,
DB05294,1454,,,,
DB05424,1454,,,,
DB06616,1454,,,,
DB08568,1454,,,,
DB08916,1454,,,,
DB06999,1455,,,,
DB08568,1455,,,,
DB04751,1456,,,,
DB08568,1456,,,,
DB02709,1457,,,,
DB07715,1457,,,,
DB01268,1457,,,,
DB04216,1457,,,,
DB07352,1457,,,,
DB07995,1457,,,,
DB08568,1457,,,,
DB08877,1457,,,,
DB08846,1457,,,,
DB01268,1459,,,,
DB08568,1459,,,,
DB08877,1459,,,,
DB00968,1491,,,,
DB01094,1543,,,,
DB02375,1543,,,,
DB04216,1543,,,,
DB07352,1543,,,,
DB00382,1544,,,,
DB04216,1544,,,,
DB06203,1544,,,,
DB07352,1544,,,,
DB01094,1545,,,,
DB02375,1545,,,,
DB02709,1545,,,,
DB03467,1545,,,,
DB04216,1545,,,,
DB07352,1545,,,,
DB00553,1548,,,,
DB00208,1557,,,,
DB00582,1557,,,,
DB00951,1557,,,,
DB06203,1557,,,,
DB00780,1558,,,,
DB01241,1558,,,,
DB00252,1559,,,,
DB00396,1559,,,,
DB00482,1559,,,,
DB00549,1559,,,,
DB00582,1559,,,,
DB00622,1559,,,,
DB00870,1559,,,,
DB01241,1559,,,,
DB06155,1559,,,,
DB06203,1559,,,,
DB06729,1559,,,,
DB00234,1565,,,,
DB00468,1565,,,,
DB00476,1565,,,,
DB00477,1565,,,,
DB00514,1565,,,,
DB00571,1565,,,,
DB00715,1565,,,,
DB00908,1565,,,,
DB00972,1565,,,,
DB01392,1565,,,,
DB06203,1565,,,,
DB00342,1573,,,,
DB00196,1576,,,,
DB00257,1576,,,,
DB00338,1576,,,,
DB00342,1576,,,,
DB00343,1576,,,,
DB00530,1576,,,,
DB00554,1576,,,,
DB00576,1576,,,,
DB00608,1576,,,,
DB00622,1576,,,,
DB00624,1576,,,,
DB00661,1576,,,,
DB00673,1576,,,,
DB00675,1576,,,,
DB00701,1576,,,,
DB00834,1576,,,,
DB01067,1576,,,,
DB01110,1576,,,,
DB01115,1576,,,,
DB01127,1576,,,,
DB01254,1576,,,,
DB01259,1576,,,,
DB04960,1576,,,,
DB06203,1576,,,,
DB08079,1576,,,,
DB00701,1577,,,,
DB00292,1584,,,,
DB01006,1584,,,,
DB00292,1585,,,,
DB01006,1585,,,,
DB00257,1586,,,,
DB01007,1586,,,,
DB01110,1586,,,,
DB01127,1586,,,,
DB01420,1586,,,,
DB04794,1586,,,,
DB05812,1586,,,,
DB08943,1586,,,,
DB00179,1588,,,,
DB00257,1588,,,,
DB00357,1588,,,,
DB00624,1588,,,,
DB01006,1588,,,,
DB01110,1588,,,,
DB01217,1588,,,,
DB02375,1588,,,,
DB03467,1588,,,,
DB04216,1588,,,,
DB07352,1588,,,,
DB08905,1588,,,,
DB00257,1595,,,,
DB01110,1595,,,,
DB01127,1595,,,,
DB04794,1595,,,,
DB00446,1604,,,,
DB03793,1610,,,,
DB08568,1612,,,,
DB08877,1612,,,,
DB04716,1613,,,,
DB00530,1613,,,,
DB01268,1613,,,,
DB08568,1613,,,,
DB08877,1613,,,,
DB00128,1615,,,,
DB00126,1621,,,,
DB00822,1621,,,,
DB00988,1621,,,,
DB01073,1633,,,,
DB00178,1636,,,,
DB00542,1636,,,,
DB00584,1636,,,,
DB00691,1636,,,,
DB00790,1636,,,,
DB00881,1636,,,,
DB01197,1636,,,,
DB01340,1636,,,,
DB00945,1645,,,,
DB07931,1645,,,,
DB00603,1645,,,,
DB00784,1645,,,,
DB01586,1646,,,,
DB00603,1646,,,,
DB00784,1646,,,,
DB02266,1646,,,,
DB00675,1717,,,,
DB00997,1717,,,,
DB00205,1719,,,,
DB00440,1719,,,,
DB00563,1719,,,,
DB00642,1719,,,,
DB01157,1719,,,,
DB06813,1719,,,,
DB08878,1719,,,,
DB01097,1723,,,,
DB01117,1723,,,,
DB02262,1723,,,,
DB00170,1728,,,,
DB01718,1759,,,,
DB05424,1760,,,,
DB06616,1760,,,,
DB08142,1760,,,,
DB08568,1760,,,,
DB08877,1760,,,,
DB08865,1760,,,,
DB00928,1786,,,,
DB01099,1786,,,,
DB01262,1786,,,,
DB00738,1787,,,,
DB01261,1803,,,,
DB04876,1803,,,,
DB06335,1803,,,,
DB00194,1803,,,,
DB06203,1803,,,,
DB08882,1803,,,,
DB03419,1806,,,,
DB00246,1812,,,,
DB00268,1812,,,,
DB00334,1812,,,,
DB00363,1812,,,,
DB00408,1812,,,,
DB00413,1812,,,,
DB00477,1812,,,,
DB00502,1812,,,,
DB00543,1812,,,,
DB00623,1812,,,,
DB00679,1812,,,,
DB00734,1812,,,,
DB00800,1812,,,,
DB00988,1812,,,,
DB01186,1812,,,,
DB01224,1812,,,,
DB01235,1812,,,,
DB01238,1812,,,,
DB01239,1812,,,,
DB00321,1812,,,,
DB00370,1812,,,,
DB00434,1812,,,,
DB00934,1812,,,,
DB01242,1812,,,,
DB04946,1812,,,,
DB06148,1812,,,,
DB00246,1813,,,,
DB00268,1813,,,,
DB00334,1813,,,,
DB00363,1813,,,,
DB00391,1813,,,,
DB00408,1813,,,,
DB00413,1813,,,,
DB00433,1813,,,,
DB00450,1813,,,,
DB00477,1813,,,,
DB00490,1813,,,,
DB00502,1813,,,,
DB00543,1813,,,,
DB00623,1813,,,,
DB00679,1813,,,,
DB00734,1813,,,,
DB00831,1813,,,,
DB00915,1813,,,,
DB00988,1813,,,,
DB01184,1813,,,,
DB01186,1813,,,,
DB01221,1813,,,,
DB01224,1813,,,,
DB01235,1813,,,,
DB01238,1813,,,,
DB01239,1813,,,,
DB01392,1813,,,,
DB01425,1813,,,,
DB04599,1813,,,,
DB06288,1813,,,,
DB00321,1813,,,,
DB00368,1813,,,,
DB00370,1813,,,,
DB00458,1813,,,,
DB00656,1813,,,,
DB00706,1813,,,,
DB00800,1813,,,,
DB00934,1813,,,,
DB01242,1813,,,,
DB04946,1813,,,,
DB06148,1813,,,,
DB06216,1813,,,,
DB06684,1813,,,,
DB00246,1814,,,,
DB00268,1814,,,,
DB00334,1814,,,,
DB00363,1814,,,,
DB00391,1814,,,,
DB00413,1814,,,,
DB00502,1814,,,,
DB00734,1814,,,,
DB00988,1814,,,,
DB01184,1814,,,,
DB01186,1814,,,,
DB01224,1814,,,,
DB01235,1814,,,,
DB01238,1814,,,,
DB01239,1814,,,,
DB01392,1814,,,,
DB06288,1814,,,,
DB00321,1814,,,,
DB00370,1814,,,,
DB00408,1814,,,,
DB00433,1814,,,,
DB00434,1814,,,,
DB00458,1814,,,,
DB00477,1814,,,,
DB00490,1814,,,,
DB00543,1814,,,,
DB00623,1814,,,,
DB00679,1814,,,,
DB00706,1814,,,,
DB00831,1814,,,,
DB00934,1814,,,,
DB01242,1814,,,,
DB04946,1814,,,,
DB06148,1814,,,,
DB06216,1814,,,,
DB06684,1814,,,,
DB00246,1815,,,,
DB00268,1815,,,,
DB00334,1815,,,,
DB00363,1815,,,,
DB00413,1815,,,,
DB00734,1815,,,,
DB00988,1815,,,,
DB01186,1815,,,,
DB01224,1815,,,,
DB01235,1815,,,,
DB01238,1815,,,,
DB00391,1815,,,,
DB00408,1815,,,,
DB00433,1815,,,,
DB00450,1815,,,,
DB00457,1815,,,,
DB00477,1815,,,,
DB00502,1815,,,,
DB00543,1815,,,,
DB00679,1815,,,,
DB00831,1815,,,,
DB01239,1815,,,,
DB04216,1815,,,,
DB04946,1815,,,,
DB06288,1815,,,,
DB00246,1816,,,,
DB00268,1816,,,,
DB00334,1816,,,,
DB00413,1816,,,,
DB00800,1816,,,,
DB00988,1816,,,,
DB01186,1816,,,,
DB01224,1816,,,,
DB01235,1816,,,,
DB01238,1816,,,,
DB00321,1816,,,,
DB00363,1816,,,,
DB00477,1816,,,,
DB00502,1816,,,,
DB00623,1816,,,,
DB00679,1816,,,,
DB00734,1816,,,,
DB00934,1816,,,,
DB01239,1816,,,,
DB04946,1816,,,,
DB03496,1859,,,,
DB05424,1859,,,,
DB08142,1859,,,,
DB08568,1859,,,,
DB08877,1859,,,,
DB08916,1859,,,,
DB08868,1901,,,,
DB08868,1903,,,,
DB00559,1909,,,,
DB06268,1909,,,,
DB01029,1909,,,,
DB08932,1909,,,,
DB00559,1910,,,,
DB06268,1910,,,,
DB08932,1910,,,,
DB00281,1956,,,,
DB00317,1956,,,,
DB00530,1956,,,,
DB01259,1956,,,,
DB03496,1956,,,,
DB01254,1956,,,,
DB01268,1956,,,,
DB01645,1956,,,,
DB02567,1956,,,,
DB03044,1956,,,,
DB04216,1956,,,,
DB04849,1956,,,,
DB04879,1956,,,,
DB05294,1956,,,,
DB05424,1956,,,,
DB05465,1956,,,,
DB06616,1956,,,,
DB08052,1956,,,,
DB08916,1956,,,,
DB08846,1956,,,,
DB08865,1956,,,,
DB01254,1969,,,,
DB00398,1969,,,,
DB02567,1969,,,,
DB03044,1969,,,,
DB04868,1969,,,,
DB05294,1969,,,,
DB06616,1969,,,,
DB08597,1969,,,,
DB08865,1969,,,,
DB00533,2006,,,,
DB01268,2011,,,,
DB02567,2011,,,,
DB08877,2011,,,,
DB00975,2030,,,,
DB02567,2041,,,,
DB03044,2041,,,,
DB03496,2041,,,,
DB04849,2041,,,,
DB04868,2041,,,,
DB06616,2041,,,,
DB08865,2041,,,,
DB00317,2042,,,,
DB00398,2042,,,,
DB02567,2042,,,,
DB03044,2042,,,,
DB04849,2042,,,,
DB04868,2042,,,,
DB05294,2042,,,,
DB05424,2042,,,,
DB06616,2042,,,,
DB08877,2042,,,,
DB08865,2042,,,,
DB00398,2043,,,,
DB02567,2043,,,,
DB03044,2043,,,,
DB04868,2043,,,,
DB05294,2043,,,,
DB05424,2043,,,,
DB06616,2043,,,,
DB08865,2043,,,,
DB00317,2044,,,,
DB00398,2044,,,,
DB00530,2044,,,,
DB01268,2044,,,,
DB02567,2044,,,,
DB03044,2044,,,,
DB03496,2044,,,,
DB04868,2044,,,,
DB05294,2044,,,,
DB05424,2044,,,,
DB06616,2044,,,,
DB08865,2044,,,,
DB00398,2045,,,,
DB01268,2045,,,,
DB03044,2045,,,,
DB04849,2045,,,,
DB05294,2045,,,,
DB05424,2045,,,,
DB08865,2045,,,,
DB00398,2046,,,,
DB00619,2046,,,,
DB02567,2046,,,,
DB03044,2046,,,,
DB04849,2046,,,,
DB04868,2046,,,,
DB05294,2046,,,,
DB05424,2046,,,,
DB06616,2046,,,,
DB08865,2046,,,,
DB00317,2047,,,,
DB00398,2047,,,,
DB00530,2047,,,,
DB01268,2047,,,,
DB02567,2047,,,,
DB03044,2047,,,,
DB03496,2047,,,,
DB04868,2047,,,,
DB05294,2047,,,,
DB05424,2047,,,,
DB06616,2047,,,,
DB08865,2047,,,,
DB01254,2048,,,,
DB02567,2048,,,,
DB03044,2048,,,,
DB04868,2048,,,,
DB06616,2048,,,,
DB02567,2049,,,,
DB03044,2049,,,,
DB04868,2049,,,,
DB06616,2049,,,,
DB00317,2050,,,,
DB00398,2050,,,,
DB00530,2050,,,,
DB01254,2050,,,,
DB01268,2050,,,,
DB02567,2050,,,,
DB03044,2050,,,,
DB04849,2050,,,,
DB04868,2050,,,,
DB05294,2050,,,,
DB05424,2050,,,,
DB06616,2050,,,,
DB08052,2050,,,,
DB08846,2050,,,,
DB08865,2050,,,,
DB00317,2051,,,,
DB00530,2051,,,,
DB01254,2051,,,,
DB01268,2051,,,,
DB02567,2051,,,,
DB04849,2051,,,,
DB04868,2051,,,,
DB05294,2051,,,,
DB05424,2051,,,,
DB06589,2051,,,,
DB06616,2051,,,,
DB06999,2051,,,,
DB08877,2051,,,,
DB08916,2051,,,,
DB08865,2051,,,,
DB00398,2053,,,,
DB00744,2053,,,,
DB08896,2053,,,,
DB01259,2064,,,,
DB00317,2064,,,,
DB00530,2064,,,,
DB04849,2064,,,,
DB05424,2064,,,,
DB06616,2064,,,,
DB08916,2064,,,,
DB08846,2064,,,,
DB00317,2065,,,,
DB00530,2065,,,,
DB01254,2065,,,,
DB01259,2065,,,,
DB02567,2065,,,,
DB03496,2065,,,,
DB04849,2065,,,,
DB05294,2065,,,,
DB05424,2065,,,,
DB06616,2065,,,,
DB08916,2065,,,,
DB00317,2066,,,,
DB00530,2066,,,,
DB01254,2066,,,,
DB01259,2066,,,,
DB02567,2066,,,,
DB03496,2066,,,,
DB04849,2066,,,,
DB05294,2066,,,,
DB05424,2066,,,,
DB06616,2066,,,,
DB08916,2066,,,,
DB04849,2081,,,,
DB08877,2081,,,,
DB00255,2099,,,,
DB00367,2099,,,,
DB00396,2099,,,,
DB00481,2099,,,,
DB00539,2099,,,,
DB00603,2099,,,,
DB00655,2099,,,,
DB00675,2099,,,,
DB00783,2099,,,,
DB00823,2099,,,,
DB00882,2099,,,,
DB00890,2099,,,,
DB00947,2099,,,,
DB00977,2099,,,,
DB01065,2099,,,,
DB01108,2099,,,,
DB01183,2099,,,,
DB01196,2099,,,,
DB01357,2099,,,,
DB01645,2099,,,,
DB04573,2099,,,,
DB07933,2099,,,,
DB00421,2099,,,,
DB02709,2099,,,,
DB07352,2099,,,,
DB07715,2099,,,,
DB07810,2099,,,,
DB00255,2100,,,,
DB00481,2100,,,,
DB00675,2100,,,,
DB00783,2100,,,,
DB01108,2100,,,,
DB01196,2100,,,,
DB01645,2100,,,,
DB04573,2100,,,,
DB07933,2100,,,,
DB00421,2100,,,,
DB00655,2100,,,,
DB00834,2100,,,,
DB00977,2100,,,,
DB07352,2100,,,,
DB07715,2100,,,,
DB00197,2101,,,,
DB00675,2101,,,,
DB00783,2101,,,,
DB01645,2101,,,,
DB00783,2103,,,,
DB01645,2103,,,,
DB00197,2104,,,,
DB00255,2104,,,,
DB00170,2147,,,,
DB00278,2147,,,,
DB04786,2147,,,,
DB04898,2147,,,,
DB06695,2147,,,,
DB01197,2147,,,,
DB04297,2152,,,,
DB00170,2155,,,,
DB00170,2158,,,,
DB00170,2159,,,,
DB06228,2159,,,,
DB06605,2159,,,,
DB03796,2167,,,,
DB03796,2169,,,,
DB03796,2170,,,,
DB03796,2171,,,,
DB00197,2182,,,,
DB00412,2182,,,,
DB01097,2185,,,,
DB01645,2185,,,,
DB02567,2185,,,,
DB03044,2185,,,,
DB03496,2185,,,,
DB06616,2185,,,,
DB08865,2185,,,,
DB04876,2191,,,,
DB08882,2191,,,,
DB01034,2194,,,,
DB01083,2194,,,,
DB00399,2224,,,,
DB00630,2224,,,,
DB00710,2224,,,,
DB00884,2224,,,,
DB00648,2230,,,,
DB01268,2241,,,,
DB02567,2241,,,,
DB06616,2241,,,,
DB08865,2241,,,,
DB02567,2242,,,,
DB06589,2242,,,,
DB06616,2242,,,,
DB06999,2242,,,,
DB08865,2242,,,,
DB01025,2246,,,,
DB00877,2247,,,,
DB00398,2260,,,,
DB01254,2260,,,,
DB01268,2260,,,,
DB02567,2260,,,,
DB04849,2260,,,,
DB05294,2260,,,,
DB06589,2260,,,,
DB06999,2260,,,,
DB00398,2261,,,,
DB01254,2261,,,,
DB01268,2261,,,,
DB02567,2261,,,,
DB04849,2261,,,,
DB05294,2261,,,,
DB06589,2261,,,,
DB08865,2261,,,,
DB01041,2263,,,,
DB00530,2263,,,,
DB01268,2263,,,,
DB02567,2263,,,,
DB04716,2263,,,,
DB04849,2263,,,,
DB05294,2263,,,,
DB06999,2263,,,,
DB01268,2264,,,,
DB02567,2264,,,,
DB03044,2264,,,,
DB04849,2264,,,,
DB05294,2264,,,,
DB00317,2268,,,,
DB00398,2268,,,,
DB01268,2268,,,,
DB02567,2268,,,,
DB03044,2268,,,,
DB04849,2268,,,,
DB04868,2268,,,,
DB05294,2268,,,,
DB05424,2268,,,,
DB06616,2268,,,,
DB06999,2268,,,,
DB08865,2268,,,,
DB00337,2280,,,,
DB00864,2280,,,,
DB00877,2280,,,,
DB08597,2280,,,,
DB01268,2321,,,,
DB00398,2321,,,,
DB02567,2321,,,,
DB03044,2321,,,,
DB04716,2321,,,,
DB04849,2321,,,,
DB04879,2321,,,,
DB05294,2321,,,,
DB05424,2321,,,,
DB06589,2321,,,,
DB06999,2321,,,,
DB08597,2321,,,,
DB08865,2321,,,,
DB00398,2322,,,,
DB01268,2322,,,,
DB00317,2322,,,,
DB00530,2322,,,,
DB00619,2322,,,,
DB01254,2322,,,,
DB02375,2322,,,,
DB02567,2322,,,,
DB03044,2322,,,,
DB03496,2322,,,,
DB04216,2322,,,,
DB04849,2322,,,,
DB04868,2322,,,,
DB05294,2322,,,,
DB05424,2322,,,,
DB05465,2322,,,,
DB06589,2322,,,,
DB06616,2322,,,,
DB06999,2322,,,,
DB07352,2322,,,,
DB08568,2322,,,,
DB08597,2322,,,,
DB08916,2322,,,,
DB08865,2322,,,,
DB00398,2324,,,,
DB01268,2324,,,,
DB02567,2324,,,,
DB03044,2324,,,,
DB04716,2324,,,,
DB04849,2324,,,,
DB04879,2324,,,,
DB05294,2324,,,,
DB05465,2324,,,,
DB06589,2324,,,,
DB08846,2324,,,,
DB04960,2342,,,,
DB00293,2356,,,,
DB00563,2356,,,,
DB00398,2444,,,,
DB00619,2444,,,,
DB02567,2444,,,,
DB03044,2444,,,,
DB03496,2444,,,,
DB04849,2444,,,,
DB04868,2444,,,,
DB05294,2444,,,,
DB05424,2444,,,,
DB06616,2444,,,,
DB06999,2444,,,,
DB08916,2444,,,,
DB08865,2444,,,,
DB00337,2475,,,,
DB00877,2475,,,,
DB01590,2475,,,,
DB06287,2475,,,,
DB02656,2475,,,,
DB08059,2475,,,,
DB04786,2492,,,,
DB01254,2534,,,,
DB00398,2534,,,,
DB00619,2534,,,,
DB01268,2534,,,,
DB02567,2534,,,,
DB04716,2534,,,,
DB04849,2534,,,,
DB04868,2534,,,,
DB05294,2534,,,,
DB05424,2534,,,,
DB06616,2534,,,,
DB06999,2534,,,,
DB08865,2534,,,,
DB01708,2539,,,,
DB00284,2548,,,,
DB00491,2548,,,,
DB04878,2548,,,,
DB00273,2554,,,,
DB00292,2554,,,,
DB00402,2554,,,,
DB00543,2554,,,,
DB00794,2554,,,,
DB01205,2554,,,,
DB00402,2555,,,,
DB00794,2555,,,,
DB01205,2555,,,,
DB00402,2556,,,,
DB00794,2556,,,,
DB01205,2556,,,,
DB00794,2557,,,,
DB00402,2557,,,,
DB01205,2557,,,,
DB00402,2558,,,,
DB00794,2558,,,,
DB01205,2558,,,,
DB00794,2559,,,,
DB01205,2559,,,,
DB00818,2561,,,,
DB00818,2562,,,,
DB00317,2580,,,,
DB00530,2580,,,,
DB00619,2580,,,,
DB01268,2580,,,,
DB02567,2580,,,,
DB03496,2580,,,,
DB04849,2580,,,,
DB05294,2580,,,,
DB05424,2580,,,,
DB05465,2580,,,,
DB06616,2580,,,,
DB08568,2580,,,,
DB08877,2580,,,,
DB08916,2580,,,,
DB00536,2593,,,,
DB00145,2617,,,,
DB00642,2618,,,,
DB00145,2628,,,,
DB00145,2653,,,,
DB00260,2671,,,,
DB00170,2677,,,,
DB01136,2697,,,,
DB00145,2731,,,,
DB00328,2739,,,,
DB04216,2739,,,,
DB00145,2742,,,,
DB06743,2742,,,,
DB00145,2743,,,,
DB00860,2752,,,,
DB02587,2778,,,,
DB00128,2805,,,,
DB00128,2806,,,,
DB00468,2815,,,,
DB01183,2831,,,,
DB00530,2868,,,,
DB06616,2868,,,,
DB08568,2868,,,,
DB08877,2868,,,,
DB08865,2868,,,,
DB00317,2872,,,,
DB00398,2872,,,,
DB00530,2872,,,,
DB01268,2872,,,,
DB03044,2872,,,,
DB03496,2872,,,,
DB05294,2872,,,,
DB05424,2872,,,,
DB08568,2872,,,,
DB08877,2872,,,,
DB08916,2872,,,,
DB00780,2875,,,,
DB00794,2891,,,,
DB04599,2891,,,,
DB04599,2892,,,,
DB00273,2897,,,,
DB00794,2898,,,,
DB01173,2902,,,,
DB01043,2902,,,,
DB00145,2903,,,,
DB00949,2903,,,,
DB01043,2903,,,,
DB00502,2904,,,,
DB00949,2904,,,,
DB01043,2904,,,,
DB08954,2904,,,,
DB00145,2905,,,,
DB01173,2906,,,,
DB00180,2908,,,,
DB00351,2908,,,,
DB00443,2908,,,,
DB00588,2908,,,,
DB00591,2908,,,,
DB00596,2908,,,,
DB00620,2908,,,,
DB00635,2908,,,,
DB00663,2908,,,,
DB00741,2908,,,,
DB00834,2908,,,,
DB00860,2908,,,,
DB00959,2908,,,,
DB01013,2908,,,,
DB01047,2908,,,,
DB01222,2908,,,,
DB01234,2908,,,,
DB01260,2908,,,,
DB01380,2908,,,,
DB06781,2908,,,,
DB00396,2908,,,,
DB00421,2908,,,,
DB00603,2908,,,,
DB01110,2916,,,,
DB08142,2931,,,,
DB08568,2931,,,,
DB00398,2932,,,,
DB02656,2932,,,,
DB03044,2932,,,,
DB08142,2932,,,,
DB08568,2932,,,,
DB08901,2932,,,,
DB08846,2932,,,,
DB00262,2936,,,,
DB00145,2937,,,,
DB00608,2939,,,,
DB01242,2950,,,,
DB00358,3039,,,,
DB08486,3039,,,,
DB08486,3043,,,,
DB04216,3055,,,,
DB00317,3055,,,,
DB00398,3055,,,,
DB01254,3055,,,,
DB01268,3055,,,,
DB02567,3055,,,,
DB03044,3055,,,,
DB04716,3055,,,,
DB04849,3055,,,,
DB04868,3055,,,,
DB05294,3055,,,,
DB05424,3055,,,,
DB06589,3055,,,,
DB06616,3055,,,,
DB06999,3055,,,,
DB08052,3055,,,,
DB08916,3055,,,,
DB02546,3065,,,,
DB04297,3065,,,,
DB00227,3066,,,,
DB02546,3066,,,,
DB04297,3066,,,,
DB01030,3091,,,,
DB02740,3105,,,,
DB00121,3141,,,,
DB00227,3156,,,,
DB00641,3156,,,,
DB01095,3156,,,,
DB06693,3156,,,,
DB08860,3156,,,,
DB03796,3174,,,,
DB04690,3178,,,,
DB00993,3251,,,,
DB01033,3251,,,,
DB00245,3269,,,,
DB00246,3269,,,,
DB00283,3269,,,,
DB00321,3269,,,,
DB00334,3269,,,,
DB00341,3269,,,,
DB00342,3269,,,,
DB00363,3269,,,,
DB00366,3269,,,,
DB00370,3269,,,,
DB00434,3269,,,,
DB00455,3269,,,,
DB00458,3269,,,,
DB00477,3269,,,,
DB00557,3269,,,,
DB00656,3269,,,,
DB00719,3269,,,,
DB00734,3269,,,,
DB00737,3269,,,,
DB00751,3269,,,,
DB00768,3269,,,,
DB00792,3269,,,,
DB00797,3269,,,,
DB00920,3269,,,,
DB00934,3269,,,,
DB00950,3269,,,,
DB00967,3269,,,,
DB00972,3269,,,,
DB01075,3269,,,,
DB01114,3269,,,,
DB01173,3269,,,,
DB01175,3269,,,,
DB01176,3269,,,,
DB01224,3269,,,,
DB01238,3269,,,,
